autores;data de apresentação e ementa
Autor: Jair Bolsonaro - PSC/RJ.;Data de apresentação: 19/9/2016Ementa: Solicita informações ao senhor Ministro de Estado de Minas e Energia quanto à exploração de jazidas de nióbio, nos quesitos que especifica.
Autor: Jair Bolsonaro - PP/RJ e outros.;Data de apresentação: 6/3/2015Ementa: Inclua-se na Proposta de Emenda à Constituição 344-A, de 2013, onde couber, o seguinte artigo, renumerando-se os demais:
Autor: Jair Bolsonaro - PPB/RJ.;"Data de apresentação: 10/6/1996Ementa: PARECER FAVORAVEL DO RELATOR, DEP JAIR BOLSONARO,
COM ADOÇÃO DO SUBSTITUTIVO DA CDN."
Autor: Jair Bolsonaro - PPB/RJ.;Data de apresentação: 16/9/1992Ementa: PARECER FAVORAVEL DO RELATOR, DEP JAIR BOLSONARO.
Autor: Jair Bolsonaro - PPB/RJ.;Data de apresentação: 14/12/2001Ementa: Parecer do Relator, Dep. Jair Bolsonaro, pela aprovação.
Autor: Jair Bolsonaro - PTB/RJ.;Data de apresentação: 19/9/1994Ementa: Parecer do Relator, Dep. Jair Bolsonaro, pela aprovação,com emenda.
Autor: Jair Bolsonaro - PPB/RJ.;Data de apresentação: 28/2/2002Ementa: Parecer do Relator, Dep. Jair Bolsonaro, pela aprovação, com substitutivo.
Autor: Jair Bolsonaro - PPB/RJ.;Data de apresentação: 10/8/1995Ementa: PARECER FAVORAVEL DO RELATOR, DEP JAIR BOLSONARO, COM EMENDAS.
Autor: Jair Bolsonaro - PPB/RJ.;"Data de apresentação: 10/2/1994Ementa: PARECER FAVORAVEL DO RELATOR, DEP JAIR BOLSONARO.
DCN1 21 04 94 PAG 6495 COL 02."
Autor: Jair Bolsonaro - PPB/RJ.;Data de apresentação: 8/7/1992Ementa: PARECER CONTRARIO DO RELATOR, DEP JAIR BOLSONARO.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 14/5/2015Ementa: Sugere o encaminhamento de Projeto de Lei que acresce o § 3º ao art. 31 da Lei nº 3.765, de 4 de maio de 1960, que dispõe sobre as pensões militares, para instituir prazo obrigatório para julgamento da legalidade da concessão de pensões militares.
Autores: Flavinho - PSB/SP,Nelson Marquezelli - PTB/SP,Evandro Gussi - PV/SP,Paulo Foletto - PSB/ES,Marcus Pestana - PSDB/MG,Luiz Carlos Hauly - PSDB/PR,Izalci - PSDB/DF,Moroni Torgan - DEM/CE,Goulart - PSD/SP,Silas Câmara - PSD/AM,César Messias - PSB/AC,Tenente Lúcio - PSB/MG,Adilton Sachetti - PSB/MT,Givaldo Carimbão - PROS/AL,Pr. Marco Feliciano - PSC/SP,Eros Biondini - PTB/MG,Lincoln Portela - PR/MG,Alan Rick - PRB/AC,Roberto Alves - PRB/SP,Ronaldo Martins - PRB/CE,Antonio Bulhões - PRB/SP,Rogério Peninha Mendonça - PMDB/SC,Jair Bolsonaro - PP/RJ,Márcio Marinho - PRB/BA,Miro Teixeira - PROS/RJ,Júlio Delgado - PSB/MG,Joaquim Passarinho - PSD/PA,Sóstenes Cavalcante - PSD/RJ,Alexandre Serfiotis - PSD/RJ,João Rodrigues - PSD/SC,Jefferson Campos - PSD/SP,Ezequiel Teixeira - SD/RJ,Fábio Sousa - PSDB/GO,Walter Ihoshi - PSD/SP,Vitor Lippi - PSDB/SP,Eduardo Cury - PSDB/SP,Marcelo Aro - PHS/MG,Kaio Maniçoba - PHS/PE,Vitor Valim - PMDB/CE,Macedo - PSL/CE,Missionário José Olimpio - PP/SP,Francisco Floriano - PR/RJ,Geovania de Sá - PSDB/SC,Diego Garcia - PHS/PR,Evandro Roman - PSD/PR,Carlos Gomes - PRB/RS,Esperidião Amin - PP/SC,Fábio Mitidieri - PSD/SE,Hildo Rocha - PMDB/MA,Alceu Moreira - PMDB/RS,Alberto Filho - PMDB/MA,Lelo Coimbra - PMDB/ES,Walter Alves - PMDB/RN,Hugo Motta - PMDB/PB,Veneziano Vital do Rêgo - PMDB/PB,Laudivio Carvalho - PMDB/MG,Cabuçu Borges - PMDB/AP,Luiz Lauro Filho - PSB/SP,Clarissa Garotinho - PR/RJ,Herculano Passos - PSD/SP,Leopoldo Meyer - PSB/PR,Heitor Schuch - PSB/RS,Fernando Coelho Filho - PSB/PE,Baleia Rossi - PMDB/SP,Marcos Rogério - PDT/RO,Evair de Melo - PV/ES,Fernando Francischini - SD/PR.;Data de apresentação: 17/6/2015Ementa: Para sustar os efeitos da inclusão da ideologia de gênero no Documento Final do Conae- 2014, assinado e apresentado pelo Fórum Nacional de Educação.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 11/8/2015Ementa: Ficam sustados os efeitos do inteiro teor do Decreto nº 8.497, de 4 de agosto de 2015, que regulamenta a formação do Cadastro Nacional de Especialistas, publicado na Seção 1 do Diário Oficial da União nº 148, de 05 de agosto de 2015
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 17/3/2015Ementa: Ficam sustados os efeitos do inteiro teor das Resoluções nº 11, de 18 de dezembro de 2014, e nº 12, de 16 de janeiro de 2015, do Conselho Nacional de Combate à Discriminação e Promoção dos Direitos de Lésbicas, Gays, Travestis e Transexuais - CNCD/LGBT, da Secretaria de Direitos Humanos, ambas publicadas na Seção 1 do Diário Oficial da União nº 48, de 12 de março de 2015.
Autores: Nelson Marquezelli - PTB/SP,Weliton Prado - PT/MG,Alfredo Kaefer - PSDB/PR,Odorico Monteiro - PT/CE,Carmen Zanotto - PPS/SC,Aureo - SD/RJ,Walney Rocha - PTB/RJ,Paulo Feijó - PR/RJ,Diego Garcia - PHS/PR,Marcelo Matos - PDT/RJ,Marco Tebaldi - PSDB/SC,Zeca Cavalcanti - PTB/PE,Major Olimpio - PDT/SP,Luiz Carlos Ramos - PSDC/RJ,Pedro Uczai - PT/SC,Hélio Leite - DEM/PA,Fernando Jordão - PMDB/RJ,João Paulo Papa - PSDB/SP,Luciano Ducci - PSB/PR,Darcísio Perondi - PMDB/RS,José Carlos Aleluia - DEM/BA,Izalci - PSDB/DF,Dr. Sinval Malheiros - PV/SP,Luiz Carlos Hauly - PSDB/PR,Pauderney Avelino - DEM/AM,Domingos Neto - PROS/CE,Pedro Cunha Lima - PSDB/PB,Wilson Filho - PTB/PB,Rômulo Gouveia - PSD/PB,Celso Russomanno - PRB/SP,Gonzaga Patriota - PSB/PE,Osmar Serraglio - PMDB/PR,Zé Carlos - PT/MA,Eduardo Barbosa - PSDB/MG,Givaldo Vieira - PT/ES,Marcelo Belinati - PP/PR,Carlos Bezerra - PMDB/MT,Geraldo Resende - PMDB/MS,Valtenir Pereira - PROS/MT,Ana Perugini - PT/SP,Jair Bolsonaro - PP/RJ,Edmilson Rodrigues - PSOL/PA,João Rodrigues - PSD/SC,Luiz Nishimori - PR/PR,Flávia Morais - PDT/GO,Carlos Eduardo Cadoca - PCdoB/PE,Gorete Pereira - PR/CE,Odelmo Leão - PP/MG,Herculano Passos - PSD/SP,Caetano - PT/BA,Conceição Sampaio - PP/AM,Rogério Peninha Mendonça - PMDB/SC,Nilto Tatto - PT/SP,Lobbe Neto - PSDB/SP,Davidson Magalhães - PCdoB/BA,Goulart - PSD/SP,Giovani Cherini - PDT/RS,Esperidião Amin - PP/SC,Pompeo de Mattos - PDT/RS,Marcos Montes - PSD/MG,Ezequiel Fonseca - PP/MT,Cesar Souza - PSD/SC,Assis Carvalho - PT/PI,Tereza Cristina - PSB/MS,Benjamin Maranhão - SD/PB,Walter Ihoshi - PSD/SP,Josi Nunes - PMDB/TO,Roney Nemer - PMDB/DF,Deley - PTB/RJ,Silas Freire - PR/PI,Baleia Rossi - PMDB/SP,Alberto Fraga - DEM/DF,Mauro Pereira - PMDB/RS,Daniel Coelho - PSDB/PE,Rubens Bueno - PPS/PR,Fabio Garcia - PSB/MT,João Daniel - PT/SE,Efraim Filho - DEM/PB,Renata Abreu - PTN/SP,Elcione Barbalho - PMDB/PA,Geovania de Sá - PSDB/SC,Keiko Ota - PSB/SP,Cícero Almeida - PRTB/AL,Marquinho Mendes - PMDB/RJ.;Data de apresentação: 3/9/2015Ementa: Susta os efeitos do Acordão nº 925-13/13-P, do Tribunal de Contas da União, órgão auxiliar do Congresso Nacional.
